รหัสนักศึกษา,ชื่อ นามสกุล,กลุ่ม,การเปลี่ยนชมรม
680710167,,7,บ่าย ช่วงที่ 1: ปิงปอง → MCCC
680710177,,7,"เช้า ช่วงที่ 3: บาสเก็ตบอล → ART, บ่าย ช่วงที่ 3: E-sport → MCCC"
680710187,,7,"เช้า ช่วงที่ 1: ฟุตบอล → เทนนิส, เช้า ช่วงที่ 3: บาสเก็ตบอล → MUAN"
680710207,,7,"เช้า ช่วงที่ 4: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → MUAN, บ่าย ช่วงที่ 2: cheerleader → ดนตรีสากล, บ่าย ช่วงที่ 3: E-sport → Research"
680710217,,7,"เช้า ช่วงที่ 3: เทนนิส → ART, บ่าย ช่วงที่ 1: ดนตรีสากล → cheerleader"
680710227,,7,"เช้า ช่วงที่ 2: วอลเลย์บอล → MUAN, บ่าย ช่วงที่ 2: E-sport → coverdance, บ่าย ช่วงที่ 4: หมอน้อย → ปิงปอง"
680710237,,7,"เช้า ช่วงที่ 2: CHORUS → วิ่ง, บ่าย ช่วงที่ 1: ดนตรีสากล → Research, บ่าย ช่วงที่ 4: cheerleader → Bridge"
680710247,,7,"เช้า ช่วงที่ 1: CHORUS → บาสเก็ตบอล, เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → วอลเลย์บอล, เช้า ช่วงที่ 4: DEVIL → แชร์บอล, บ่าย ช่วงที่ 3: Research → MCCC"
680710158,,8,เช้า ช่วงที่ 2: บาสเก็ตบอล → ดนตรีไทย
680710178,,8,เช้า ช่วงที่ 2: บาสเก็ตบอล → วอลเลย์บอล
680710188,,8,เช้า ช่วงที่ 3: DEVIL → CHORUS
680710198,,8,เช้า ช่วงที่ 4: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → เปตอง
680710208,,8,"เช้า ช่วงที่ 1: ฟุตบอล → MUAN, เช้า ช่วงที่ 2: CHORUS → บาสเก็ตบอล, บ่าย ช่วงที่ 2: Research → ปิงปอง"
680710218,,8,"เช้า ช่วงที่ 1: ART → เปตอง, เช้า ช่วงที่ 2: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → MUAN, เช้า ช่วงที่ 3: บาสเก็ตบอล → วิ่ง, บ่าย ช่วงที่ 2: Research → IMSU"
680710228,,8,"เช้า ช่วงที่ 2: วอลเลย์บอล → MUAN, เช้า ช่วงที่ 3: DEVIL → ฟุตบอล"
680710238,,8,"เช้า ช่วงที่ 4: เทนนิส → บาสเก็ตบอล, บ่าย ช่วงที่ 1: Research → หมอน้อย"
680710248,,8,"เช้า ช่วงที่ 2: บาสเก็ตบอล → เทนนิส, เช้า ช่วงที่ 3: Swimming (ชมรมว่ายน้ำและโปโลน้ำ) → MUAN, เช้า ช่วงที่ 4: แชร์บอล → ART, บ่าย ช่วงที่ 2: E-sport → IMSU, บ่าย ช่วงที่ 4: ดนตรีสากล → แบตมินตัน"
680710159,,9,"เช้า ช่วงที่ 2: วอลเลย์บอล → เปตอง, เช้า ช่วงที่ 4: เปตอง → CHORUS"
680710179,,9,"เช้า ช่วงที่ 2: วอลเลย์บอล → เปตอง, บ่าย ช่วงที่ 2: E-sport → ดนตรีสากล"
680710189,,9,"เช้า ช่วงที่ 2: DEVIL → วอลเลย์บอล, บ่าย ช่วงที่ 3: E-sport → Libir"
680710209,,9,"บ่าย ช่วงที่ 1: ดนตรีสากล → แบตมินตัน, บ่าย ช่วงที่ 3: Research → cheerleader"
680710219,,9,"เช้า ช่วงที่ 1: วอลเลย์บอล → เปตอง, บ่าย ช่วงที่ 3: E-sport → พอช., บ่าย ช่วงที่ 4: MCCC → ปิงปอง"
680710229,,9,"เช้า ช่วงที่ 2: บาสเก็ตบอล → เทนนิส, เช้า ช่วงที่ 3: ฟุตบอล → ART"
680710239,,9,"เช้า ช่วงที่ 1: แชร์บอล → เปตอง, เช้า ช่วงที่ 3: บาสเก็ตบอล → วอลเลย์บอล, บ่าย ช่วงที่ 1: ดนตรีสากล → Bridge, บ่าย ช่วงที่ 3: แบตมินตัน → Libir"
680710249,,9,"เช้า ช่วงที่ 3: บาสเก็ตบอล → แชร์บอล, เช้า ช่วงที่ 4: ดนตรีไทย → MUAN, บ่าย ช่วงที่ 1: cheerleader → CMSO, บ่าย ช่วงที่ 2: E-sport → Bridge, บ่าย ช่วงที่ 3: แบตมินตัน → MCCC"
